,kinase,metabolite,total_genes,kinase_targets,metabolite_network_size,overlap,p-value,adjusted p-value
7675,PknJ,ptth_c,1011,8,12.0,0.0,0.09140684959638397,0.12715923598716364
7676,PknJ,4ppan_c,1011,8,22.0,0.0,0.16190705505742592,0.2055504909646496
7677,PknJ,4ppcys_c,1011,8,34.0,1.0,0.027081567685781904,0.05584765613106027
7678,PknJ,pan4p_c,1011,8,34.0,1.0,0.027081567685781904,0.05584765613106027
7679,PknJ,ppdima_c,1011,8,53.0,0.0,0.3509980557816607,0.3616892717295791
7680,PknJ,34hpp_c,1011,8,27.0,0.0,0.19532623177993846,0.23353195084854553
7681,PknJ,peptido__EC_c,1011,8,48.0,0.0,0.3232964222540789,0.3433249697766935
7682,PknJ,udcpdp_c,1011,8,23.0,0.0,0.16868637109336185,0.21345124680001917
7683,PknJ,peptido__TB1_c,1011,8,48.0,0.0,0.3232964222540789,0.3433249697766935
7684,PknJ,peptido__TB2_c,1011,8,48.0,0.0,0.3232964222540789,0.3433249697766935
7685,PknJ,fpram_c,1011,8,27.0,0.0,0.19532623177993846,0.23353195084854553
7686,PknJ,prbamp_c,1011,8,37.0,0.0,0.25868432871229746,0.2969825837511479
7687,PknJ,prfp_c,1011,8,38.0,0.0,0.2647731637947426,0.2970852022899053
7688,PknJ,prephthACP_c,1011,8,12.0,0.0,0.09140684959638397,0.12715923598716364
7689,PknJ,prepphthACP_c,1011,8,12.0,0.0,0.09140684959638397,0.12715923598716364
7690,PknJ,r5p_c,1011,8,18.0,0.0,0.13430358313182936,0.1754843885383159
7691,PknJ,skm5p_c,1011,8,24.0,0.0,0.17541765553794997,0.22093238292134537
7692,PknJ,ps160_c,1011,8,33.0,0.0,0.23388548566561573,0.27217550687299963
7693,PknJ,pser__L_c,1011,8,16.0,0.0,0.12020595615709405,0.1600180662195276
7694,PknJ,r1p_c,1011,8,22.0,0.0,0.16190705505742592,0.2055504909646496
7695,PknJ,pyam5p_c,1011,8,12.0,0.0,0.09140684959638397,0.12715923598716364
7696,PknJ,pydxn_c,1011,8,12.0,0.0,0.09140684959638397,0.12715923598716364
7697,PknJ,pydx_c,1011,8,13.0,0.0,0.09868287082083739,0.13544973879685837
7698,PknJ,pydam_c,1011,8,12.0,0.0,0.09140684959638397,0.12715923598716364
7699,PknJ,dmlz_c,1011,8,41.0,0.0,0.28277792183037065,0.308935266542649
7700,PknJ,xu5p__D_c,1011,8,17.0,0.0,0.12727967711261487,0.16744676741153394
7701,PknJ,rppdima_c,1011,8,60.0,0.0,0.38811171750848344,0.3976342203813433
7702,PknJ,sucorn_c,1011,8,24.0,0.0,0.17541765553794997,0.22093238292134537
7703,PknJ,so4_c,1011,8,17.0,0.0,0.12727967711261487,0.16744676741153394
7704,PknJ,sl26da_c,1011,8,18.0,0.0,0.13430358313182936,0.1754843885383159
7705,PknJ,sl2a6o_c,1011,8,18.0,0.0,0.13430358313182936,0.1754843885383159
7706,PknJ,sucglu_c,1011,8,24.0,0.0,0.17541765553794997,0.22093238292134537
7707,PknJ,sucgsa_c,1011,8,24.0,0.0,0.17541765553794997,0.22093238292134537
7708,PknJ,2shchc_c,1011,8,28.0,0.0,0.201868294936199,0.23941123986491575
7709,PknJ,scl_c,1011,8,23.0,0.0,0.16868637109336185,0.21345124680001917
